ID_NR_Corporate_Body,Name_Corporate_Body,Name_Corporate_Body_Alias,Attribute_Byline_Description,Kuenstler,Ort,Geodaten,Ablageort_STS,Kanton,Land,Webadresse,Adresse,Verband,Rep,Status,Eckdaten_nicht_STS,fruehere_Namen,spaetere_Namen,Dokumente_VP_V,Dokumente_VP_G,Dokumente_PA_V,Dokumente_PA_G
AC_30000,Das Theater-Pack,,,"Trüb, Hansueli",Aarau <früher: Kölliken ; Oberentfelden ; St. Gallen>,,Aarau: Das Theater-Pack,AG,CH,www.theaterpack.ch,,assitej Unima,,a,1980-,,,,,1 C,(1981)-
AC_30001,Marionettenbühne Landolt-Roser & Co.,,,"Landolt-Roser, M. ;  Landolt-Roser, T.",Aarau,,Aarau,AG,CH,x,,Unima,,a,?,,,,,1 C <Sammelcouvert>,2004
AC_30002,Figurentheater Hansueli Trüb,,,"Trüb, Hansueli",Abtwil,,"Abtwil, auch unter: Trüb, Hansueli",SG,CH,x,,x,,na,?,,,,,6 R <Sammelcouvert>,(1981)-(1993)
AC_30003,Märchenbühne Silberfaden,,,"Vogel, Claudia",Aesch,,Aesch,?,CH,x,,Unima,,a,?,,,,,x,x
AC_30004,Kasperlibühne Zipfelmütze,,,"Perin, Chantal",Affoltern a.A.,,Affoltern a.A.,ZH,CH,www.kasperli-zipfelmuetze.ch,,Unima,,a,?,,,,,x,x
AC_30005,Gillionnette,,Figurentheater,Aarau,Amriswil,,Amriswil,TG,CH,x,,Unima,,a,(noch existent?),,,,,x,x
AC_30006,Figurentheater Claudine Kölbener,,,"Kölbener, Claudine",Appenzell,,"Kölbener, Claudine",AI,CH,www.puppenspielerin.ch,,Unima,,a,2008-,,,,,x,x
AC_30007,Puppentheater Marottino,,,"Schlumpf-Schürenberg, Dorothee",Arbon,,Arbon,TG,CH,www.puppentheater-marottino.ch,,KTV Unima,,a,1990-,,,,,1 C,(1989)-
AC_30008,Marionettentheater Ascona,Marionettentheater J. Flach,,"Flach, Jakob ; Epper, Mischa ; Müller, Werner J. ; Seewald, Richard ; Epper, Ignaz ; Grosshardt, Ferdinand ; Loosli, Peter W. u.a.",Ascona,,Ascona,TI,CH,x,,x,,na,1937-1960,Marionettentheater Asconeser Künstler,,,,1 C,"1937-1951, 1972, (1985)"
AC_30009,Théâtre Rikiko,,,"Joder, Elise",Aubonne ; Lavginy,,Lavginy,VD,CH,www.rikiko.ch,,Unima,,a,2001-,,,,,2 R <Sammelcouvert>,"(1992), (2002)"
AC_30010,La Cardamone,,Troupe,"Piguet Krämer, Anne",Auvernier,,Auvernier,NE,CH,www.theatrecardamone.ch,,Unima,,a,?,,,,,x,x
AC_30011,Ensemble Quadrillong,,,?,Basel,,Basel,BS,CH,x,,x,,a,?,,,,,2 R <Sammelcouvert>,(2007)-(2007)
AC_30012,figuretheater fäderliicht,,,"Vogt, Markus",Basel,,Basel,BS,CH,www.faederliicht.ch,,x,,a,?,,,,,1 R <Sammelcouvert>,(2013)-
AC_30013,Figurentheater Barbara Gyger,,,"Gyger, Barbara",Basel,,"Gyger, Barbara",BS,CH,x,,Unima,,a,?,,,,,x,x
AC_30014,Figurentheater Doris Weiller,,,"Weiller, Doris",Basel,,"Weiller, Doris",BS,CH,www.figurentheater-weiller.ch,,assitej     KTV Unima,,a,2002-,,,,,x,x
AC_30015,Figurentheater Felucca,,,"Winter, Véronique",Basel,,Basel,BS,CH,www.theater-felucca.ch,,assitej     KTV Unima,,na,1994-,,,,,1 C,(1997) / (1999)
AC_30016,Figurentheater Figuretti,,,"Stoob, Claudia ; Jufer, Werner",Basel,,Basel,BS,CH,www.figuretti.ch,,Unima,,a,?,,,,,x,x
AC_30017,Figurx,,,"Marx, Marianne",Basel,,Basel,BS,CH,x,,Unima,,a,?,,,,,x,x
AC_30018,Kleine Bühne Tulipan,,,"Kümel, Barbara ; Gilly, Martina ; Hasselberg, Frieder",Basel ?,,Basel,BS,CH,x,,x,,a,?,,,,,x,x
AC_30019,Puppenbühne Zampano,,,"Zoller, Antje ; Zoller, Walter ; Baudisch, Uwe Werner",D: Stockach,,Basel,BS,CH,x,,x,,a,?,,,,,x,x
AC_30020,Théâtre Shantala,,,"Shah, Brigitte",Bevaix,,Bevaix,NE,CH,www.marionnettes-brigitteshah.ch,,Unima,,a,?,,,,,x,x
AC_30021,Oskar,,,"Greder, Tom",Biel,,"Greder, Tom",BE,CH,www.tomoskar.com,,Unima,,a,?,,,,,,
AC_30022,Bischofszeller Marionettentheater,Bimathe; Marionettenbühne Bischofszell; Bischofszeller Marionettenbühne,,"Brüggen, Luzia van der",Bischofszell,,Bischofszell,TG,CH,x,,x,,a,?,"Marionettenbühne Bischofszell , Bischofszeller Marionettenbühne",,,,11 R <Sammelcouvert>,(1987)-
AC_30023,Berner Marionetten-Bühne,,,"Hansin, Else",Bern,,Bern: Puppentheater Diverse,BE,CH,x,,x,,na,?,,,,,1 C,(1947)-(1969)
AC_30024,Berner Marionettenkeller,Berner Marionettentheater,,"Glaus, Beatrice ; Glaus, Wlly",Bern,,Bern: Puppentheater Diverse,BE,CH,x,,x,,na,1980-1995,,,,,1 C,"1967, 1968, 1969, 1980-1995"
AC_30025,Berner Puppentheater Rolf Meyer / Martin Friedli,,,"Meyer, Rolf ; Friedli, Martin ; Baroš, Radek",Bern,,Bern: Puppentheater Diverse,,CH,x,,x,,na,1969-1992,Figurentheater Rolf Meyer / Martin Friedli (vor 1979),,,,1 C,(1971)-1992
AC_30026,Crac' Prince,,,"Fröhlin, Kathrin",Bern,,Bern,BE,CH,x,,Unima,,a,?,,,,,x,x
AC_30027,Figurentheater Nicolai / Hostettler,,,?,Bern,,Bern: Puppentheater Diverse,BE,CH,x,,x,,na,?,,,,,1 C,"(1985), (1991)"
AC_30028,Puppenbühne Monika Demenga / Hans Wirth,Puppenbühne Demenga Wirth,,"Demenga, Monika ; Wirth, Hans",Bern,,Bern: Puppentheater Diverse <ab 1992 siehe auch unter: Bern: Puppentheater: Berner Puppentheater>,BE,CH,www.berner-puppentheater.ch,,Unima,,a,1969-,,,,,1 C,"(1970)-1972, 1974-1976, 1980-"
AC_30029,Puppentheater Lorgnon,,,"Hunziker, Barbara ; Hofer, Verena",Bern,,Bern: Puppentheater Diverse,BE,CH,x,,x,,na,1970-?,,,,,1 C,1970
AC_30030,Rjkas-Bühne Bern,Berner Chaschperli-Gutsche,,"Jeanneret, Roland u.a.",Bern,,Bern: Puppentheater Diverse,BE,CH,x,,x,,a,1966-,,,,,1 C,(1980)-
AC_30031,Spielgruppe Matte,,,"Steiner, Rosemarie ; Schulthess, Heidi ; Hänzi, Bernhard",Bern,,Bern,BE,CH,x,,x,,na,?,,,,,1 C,(1973)-?
AC_30032,Theater Arthea,arthea,Puppentheater,"Demenga, Frank ; Wirthner, Karin ; Ahren, Barbara-Magdalena u.a.",Bern,,Bern: Theater Arthea,BE,CH,www.berner-puppentheater.ch/zARTHEA/Einstieg_arthea.html,,x,,a,?,,,,,1 C,"2008, 2014"
AC_30033,Figurentheater Allerhand,Allerhand Theater,,"Wyss, Simone",Biberist,,Biberist,SO,CH,www.allerhand-theater.ch,,Unima,,a,?,,,,,x,x
AC_30034,Koffertheater Vrene Ryser,,,"Ryser, Vrene",Binningen,,"Ryser, Vrene",BL,CH,x,,Unima,,a,1988-,,,,,,
AC_30035,Schattentheater,,Binningen,"Dovat, Claire-Lise",Binningen,,Binningen,BL,CH,https://schattentheater.wordpress.com,,Unima,,a,?,,,,,x,x
AC_30036,Figurentheater Susi Fux,,,"Fux-Löpfe, Susi",Bösingen,,"Fux, Susi",FR,CH,www.susifux.ch,,Unima,,a,?,,,,,,
AC_30037,Compagnie Maya Zeller,,,"Zeller, Maye",Bouloz,,"Zeller, Maya",FR,CH,x,,Unima,,a,?,,,,,,
AC_30038,Theater Bubu,,,"Leibundgut, Bettina",Braunau,,Braunau,TG,CH,www.theaterbubu.ch/,,Unima,,a,?,,,,,x,x
AC_30039,Figurentheater Bügelbrett,Puppentheater Bügelbrett,,"Bosshard, Regina",Brunnen?,,Brunnen,SZ,CH,x,,x,,a,?,,,,,x,x
AC_30040,BilderBühnen,,,"Medici, Veronika",Kyburg-Buchegg,,Buchegg,SO,CH,www.bilderbuehnen.ch,,Unima,,a,?,,,,,,
AC_30041,Burgdorfer Kasperli Theater,,,"Hess-Grossenbacher, Susanne und Hess-Grossenbacher, Stefan",Burgdorf,,Burgdorf,BE,CH,x,,Unima,,a,?,,,,,x,x
AC_30042,Roth Marlies,,,"Roth, Marlis",Chur,,"Roth, Marlies?",GR,CH,x,,Unima,,a,?,,,,,x,x
AC_30043,Teatrino Tascabile,,,?,Castelrotto,,Croglio,TI,CH,x,,x,,na,?,,später: Il Funambolo,,,2 R <Sammelcouvert>,(1985)-
AC_30044,Compagnie Denys Surdez,,,"Surdez, Denys",Pregny-Chambésy,,?,VS,CH,x,,Unima,,a,?,,,,,x,x
AC_30045,Compagnie Deux fois Rien,,,"Compagnon, Anne",Châtelaine,,Châtelaine,GE,CH,www.deuxfoisrien.ch,,x,,a,2006-,,,,,x,x
AC_30046,Les Marioles,Les Marioles de Chessel; Théâtre Les Marioles,,"Moser, Roger ; Moser, Yvette",Yvorne <früher: Chessel>,,Chessel,VD,CH,www.lesmarioles.com,,x,,a,1972-,Théâtre Marionnettes les Marioles,,,,5 R <Sammelcouvert>,(1984)-(1984)
AC_30047,Théâtre Marionnettes les Marioles,,,"Moser, Roger ; Moser, Yvette",Ollon <früher: Yvorne > Chessel),,Yvorne,VD,CH,www.lesmarioles.com,,x,,na,1972,,"Les Marioles, Les Marioles de Chessel, Théâtre Les Marioles",,,x,x
AC_30048,Arcasperli,Puppentheater Arcasperli; Figurentheater Arcas,,"Malan, Leon ; Pfaffen, Marion",Chur,,Chur,GR,CH,x,,x,,a,?,,,,,1 C,(2002)-
AC_30049,Compagnie de la Dérive ,,,?,Delémont ; Moutier ?,,Delémont,JU,CH,x,,x,,a,(noch existent?),,,,,3 R <Sammelcouvert>,(2001)-(2001)
AC_30050,Chasperlibüüni Gugelfuer,"Chaschperli-Büüni ""Gugelfuer""",,"Schmucki, Monika",Dietikon,,"Dietikon <siehe auch: Schmucki, Monika",ZH,CH,x,,Unima,,na,?,,Kasperlibühne Monika Schmucki,,,3 R <Sammelcouvert>,(2000)-
AC_30051,Kasperlibühne Monika Schmucki,,,"Schmucki, Monika",Dietikon,,"Schmucki, Monika",ZH,CH,www.kasperlibuehne.ch,,x,,a,1988-,"Chasperlibüüni Gugelfuer, Chaschperli-Büüni ""Gugelfuer"" ",,,,x,x
AC_30052,Geschichtewage,,,"Kuijer, Claude",Emmen,,?,LU,CH,x,,x,,a,?,,,,,x,x
AC_30053,Berufsbühne Kathrin Tchenar,Figurentheater Kathrin Tchenar,,"Tchenar, Kathrin",Dürnten,,"Tchenar, Kathrin",ZH,CH,x,,x,,a,?,,,,,,
AC_30054,Figurentheater Schaer / Birve,,,"Birve, Thomas ; Schaer, Hugo",Wilen ; Eppenwil,,"Birve, Thomas",OW/LU,CH,x,,x,,na,?,,,,,,
AC_30055,Figurentheater s’Traumhuus,,,"Hunziker, Ornella",Fehraltorf,,?,ZH,CH,www.s-traumhuus.ch,,x,,a,?,,,,,x,x
AC_30056,Fläscher Puppenbühne,Puppenbühne Fläsch,,?,Fläsch,,Fläsch: Puppenbühne Fläsch,GR,CH,x,,x,,a,(noch existent?),,,,,x,x
AC_30057,Association Crapouille,,,?,Fribourg/Freiburg,,?,FR,CH,www.crapouille.ch,,Unima,,a,?,,,,,x,x
AC_30058,Guignol à Roulettes,,,"Rolle, Pierre-Alain",Fribourg/Freiburg,,Fribourg/Freiburg,FR,CH,www.guignol.ch,,assitej,,a,1981-,,,,,1 C,"(1986), 1990, 1933, 1994, 2000, 2002, 2006, 2014"
AC_30059,Compagnie Chamarbellclochette,,,"Curchod, Chine",Genève,,Genève,GE,CH,www.chamarbellclochette.ch,,Unima,,a,?,,,,,x,x
AC_30060,Compagnie Farfelune,,,"Cavada Buchs, Marilene ; Buchs, Jacques ; Leuppi, Marianne ; Grandrieux, Jean-Louis",Lancy (Petit-Lancy),,Genève,GE,CH,www.farfelune-marionnettes.ch,,Unima,,a,?,,,,,x,x
AC_30061,Compagnie Irina Niculescu,,,"Niculescu, Irina",Genève,,"Niculescu, Irina",GE,CH,x,,x,,a,?,,,,,x,x
AC_30062,L’Agence Louis-François Pinagot,L'aLFP,résidant au Théâtre St. Gervais,"Schlittler, Christian Geffroy",Genève,,Genève,GE,CH,www.louispinagot.ch,,x,,a,2003-,,,,,1 C,(2013)-
AC_30063,Les Bamboches,Compagnie les Bamboches,,"Larvego-Ringger, Katia",Genève,,Genève,GE,CH,www.lesbamboches.ch,,Unima,,a,1984-,,,,,x,x
AC_30064,Les croquettes théâtre de marionnettes,,,"Benson, Teresa ; Longet, Eliane ; Zuffrey, Claudia",Genève,,Genève,GE,CH,www.lescroquettes.ch,,x,,a,1988-,,,,,1 C,(1991)-
AC_30065,Pannalal's Puppets,,Théâtre de Marionnettes,"Perret-Gentil, Michel ; Perret-Gentil, Tina",Genève,,Genève,GE,CH,www.pannalal.ch,,x,,a,?,,,,,1 C,"(1977), 1984-"
AC_30066,Tête dans le sac – marionnettes,,,"Chevalier, Cécile +Fedele, Franck",Genève,,Genève,GE,CH,www.latetedanslesac.org,,Unima,,a,?,,,,,x,x
AC_30067,Théâtre de Marionnettes de Berni Dardel,,,"Dardel, Berni",Genève,,"Dardel, Berni",GE,CH,x,,x,,a,?,,,,,x,x
AC_30068,Théâtre L'Articule,Théâtre Articule,,"Djahra, Fatna",Genève,,Genève,GE,CH,www.theatrelarticule.com,,Unima,,a,?,,,,,1 R <Sammelcouvert>,(2015)-(2015)
AC_30069,Théâtre de marionettes de la Luciole,,,"Monney, Lucienne ; Monney, Roger",Genève,,Genève,GE,CH,x,,x,,na ,?,,,,,1 R <Sammelcouvert>,(1985)-(1985)
AC_30070,ZOT-Compagnie,Marionnettes de Carouge,,"Schmutz, André",Genève,,Genève,GE,CH,x,,x,,na,?,,,,,1 C,(1989)-(2000)
AC_30071,CHORA Theater,,Figurentheater,"Proske, Margrit",Grabs,,"Proske, Margrit",SG,CH,www.chora-theater.de,,Unima,,a,2002-,,,,,,
AC_30072,Figurentheater Fleurlis Geschichten,fleurlis figuren,,"Brack, Claudia (Fleury, Claudia)",Grenchen,,?,SO,CH,www.fleurlisfiguren.ch,,x,,a,?,,,,,x,x
AC_30073,Puppentheater Trio Gärtner,,,"Gärtner-Wepfer, Maya ; Gärtner, Ernst ; Altorfer, Erika",Grüt,,"Gärtner, Maya und Ernst, auch unter: Grüt: Puppentheater Maya Gärtner",ZH,CH,x,,x,,na,1977-1999,,,,,,
AC_30074,Fährbetrieb,Figurentheater Fährbetrieb,,"Fröhlich, Kurt ; Peter, Sylvia",Herisau,,Speicher,AR,CH,www.faehrbetrieb.ch,,KTV Unima,,a,1978-,,,,,1 C,(1981)-
